Ticker,Type,GICS_Sector,GICS_SubIndustry
NTAP,Equity,Information Technology,"Technology Hardware, Storage & Peripherals"
NTRS,Equity,Financials,Asset Management & Custody Banks
NUE,Equity,Materials,Steel
NVDA,Equity,Information Technology,Semiconductors
NVR,Equity,Consumer Discretionary,Homebuilding
NWS,Equity,Communication Services,Publishing
NWSA,Equity,Communication Services,Publishing
NXPI,Equity,Information Technology,Semiconductors
O,Equity,Real Estate,Retail REITs
ODFL,Equity,Industrials,Cargo Ground Transportation
OKE,Equity,Energy,Oil & Gas Storage & Transportation
OMC,Equity,Communication Services,Advertising
ON,Equity,Information Technology,Semiconductors
ORCL,Equity,Information Technology,Application Software
ORLY,Equity,Consumer Discretionary,Automotive Retail
OTIS,Equity,Industrials,Industrial Machinery & Supplies & Components
OXY,Equity,Energy,Oil & Gas Exploration & Production
PANW,Equity,Information Technology,Systems Software
PAYX,Equity,Industrials,Human Resource & Employment Services
PCAR,Equity,Industrials,Construction Machinery & Heavy Transportation Equipment
PCG,Equity,Utilities,Multi-Utilities
PEG,Equity,Utilities,Electric Utilities
PEP,Equity,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
PFE,Equity,Health Care,Pharmaceuticals
PFG,Equity,Financials,Life & Health Insurance
PG,Equity,Consumer Staples,Personal Care Products
PGR,Equity,Financials,Property & Casualty Insurance
PH,Equity,Industrials,Industrial Machinery & Supplies & Components
PHM,Equity,Consumer Discretionary,Homebuilding
PKG,Equity,Materials,Paper & Plastic Packaging Products & Materials
PLD,Equity,Real Estate,Industrial REITs
PLTR,Equity,Information Technology,Application Software
PM,Equity,Consumer Staples,Tobacco
PNC,Equity,Financials,Diversified Banks
PNR,Equity,Industrials,Industrial Machinery & Supplies & Components
PNW,Equity,Utilities,Multi-Utilities
PODD,Equity,Health Care,Health Care Equipment
PPG,Equity,Materials,Specialty Chemicals
PPL,Equity,Utilities,Electric Utilities
PRU,Equity,Financials,Life & Health Insurance
PSA,Equity,Real Estate,Self-Storage REITs
PSKY,Equity,Communication Services,Movies & Entertainment
PSX,Equity,Energy,Oil & Gas Refining & Marketing
PTC,Equity,Information Technology,Application Software
PWR,Equity,Industrials,Construction & Engineering
PYPL,Equity,Financials,Transaction & Payment Processing Services
Q,Equity,Information Technology,Semiconductor Materials & Equipment
QCOM,Equity,Information Technology,Semiconductors
RCL,Equity,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
RDDT,Equity,Communication Services,Interactive Media & Services
REG,Equity,Real Estate,Retail REITs
REGN,Equity,Health Care,Biotechnology
RF,Equity,Financials,Regional Banks
RJF,Equity,Financials,Investment Banking & Brokerage
RL,Equity,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
RMD,Equity,Health Care,Health Care Equipment
ROK,Equity,Industrials,Electrical Components & Equipment
ROL,Equity,Industrials,Environmental & Facilities Services
ROP,Equity,Information Technology,Electronic Equipment & Instruments
ROST,Equity,Consumer Discretionary,Apparel Retail
RSG,Equity,Industrials,Environmental & Facilities Services
RTX,Equity,Industrials,Aerospace & Defense
RVTY,Equity,Health Care,Health Care Equipment
SBAC,Equity,Real Estate,Telecom Tower REITs
SBUX,Equity,Consumer Discretionary,Restaurants
SCHW,Equity,Financials,Investment Banking & Brokerage
SHW,Equity,Materials,Specialty Chemicals
SJM,Equity,Consumer Staples,Packaged Foods & Meats
SLB,Equity,Energy,Oil & Gas Equipment & Services
SMCI,Equity,Information Technology,"Technology Hardware, Storage & Peripherals"
SNA,Equity,Industrials,Industrial Machinery & Supplies & Components
SNDK,Equity,Information Technology,"Technology Hardware, Storage & Peripherals"
SNPS,Equity,Information Technology,Application Software
SO,Equity,Utilities,Electric Utilities
SOLV,Equity,Health Care,Health Care Technology
SPG,Equity,Real Estate,Retail REITs
SPGI,Equity,Financials,Financial Exchanges & Data
SPY,Equity,Broad Market Index,Large Cap Blend
SRE,Equity,Utilities,Multi-Utilities
STE,Equity,Health Care,Health Care Equipment
STLD,Equity,Materials,Steel
STT,Equity,Financials,Asset Management & Custody Banks
STX,Equity,Information Technology,"Technology Hardware, Storage & Peripherals"
STZ,Equity,Consumer Staples,Distillers & Vintners
SW,Equity,Materials,Paper & Plastic Packaging Products & Materials
SWK,Equity,Industrials,Industrial Machinery & Supplies & Components
SWKS,Equity,Information Technology,Semiconductors
SYF,Equity,Financials,Consumer Finance
SYK,Equity,Health Care,Health Care Equipment
SYY,Equity,Consumer Staples,Food Distributors
T,Equity,Communication Services,Integrated Telecommunication Services
TAP,Equity,Consumer Staples,Brewers
TDG,Equity,Industrials,Aerospace & Defense
TDY,Equity,Information Technology,Electronic Equipment & Instruments
TECH,Equity,Health Care,Life Sciences Tools & Services
TEL,Equity,Information Technology,Electronic Manufacturing Services
TER,Equity,Information Technology,Semiconductor Materials & Equipment
TFC,Equity,Financials,Diversified Banks
TGT,Equity,Consumer Staples,Consumer Staples Merchandise Retail
TJX,Equity,Consumer Discretionary,Apparel Retail
TKO,Equity,Communication Services,Movies & Entertainment
TMO,Equity,Health Care,Life Sciences Tools & Services
TMUS,Equity,Communication Services,Wireless Telecommunication Services
TPL,Equity,Energy,Oil & Gas Exploration & Production
TPR,Equity,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
TRGP,Equity,Energy,Oil & Gas Storage & Transportation
TRMB,Equity,Information Technology,Application Software
TROW,Equity,Financials,Asset Management & Custody Banks
TRV,Equity,Financials,Property & Casualty Insurance
TSCO,Equity,Consumer Discretionary,Other Specialty Retail
TSLA,Equity,Consumer Discretionary,Automobile Manufacturers
TSN,Equity,Consumer Staples,Packaged Foods & Meats
TT,Equity,Industrials,Building Products
TTD,Equity,Communication Services,Advertising
TTWO,Equity,Communication Services,Interactive Home Entertainment
TXN,Equity,Information Technology,Semiconductors
TXT,Equity,Industrials,Aerospace & Defense
TYL,Equity,Information Technology,Application Software
UAL,Equity,Industrials,Passenger Airlines
UBER,Equity,Industrials,Passenger Ground Transportation
UDR,Equity,Real Estate,Multi-Family Residential REITs
UHS,Equity,Health Care,Health Care Facilities
ULTA,Equity,Consumer Discretionary,Other Specialty Retail
UNH,Equity,Health Care,Managed Health Care
UNP,Equity,Industrials,Rail Transportation
UPS,Equity,Industrials,Air Freight & Logistics
URI,Equity,Industrials,Trading Companies & Distributors
USB,Equity,Financials,Diversified Banks
V,Equity,Financials,Transaction & Payment Processing Services
VEEV,Equity,Health Care,Health Care Technology
VICI,Equity,Real Estate,Hotel & Resort REITs
VLO,Equity,Energy,Oil & Gas Refining & Marketing
VLTO,Equity,Industrials,Environmental & Facilities Services
VMC,Equity,Materials,Construction Materials
VMRK,Equity,Real Estate,Multi-Family Residential REITs
VRSK,Equity,Industrials,Research & Consulting Services
VRSN,Equity,Information Technology,Internet Services & Infrastructure
VRT,Equity,Industrials,Electrical Components & Equipment
VRTX,Equity,Health Care,Biotechnology
VST,Equity,Utilities,Electric Utilities
VTR,Equity,Real Estate,Health Care REITs
VTRS,Equity,Health Care,Pharmaceuticals
VZ,Equity,Communication Services,Integrated Telecommunication Services
WAB,Equity,Industrials,Construction Machinery & Heavy Transportation Equipment
WAT,Equity,Health Care,Life Sciences Tools & Services
WBD,Equity,Communication Services,Broadcasting
WDAY,Equity,Information Technology,Application Software
WDC,Equity,Information Technology,"Technology Hardware, Storage & Peripherals"
WEC,Equity,Utilities,Electric Utilities
WELL,Equity,Real Estate,Health Care REITs
WFC,Equity,Financials,Diversified Banks
WM,Equity,Industrials,Environmental & Facilities Services
WMB,Equity,Energy,Oil & Gas Storage & Transportation
WMT,Equity,Consumer Staples,Consumer Staples Merchandise Retail
WRB,Equity,Financials,Property & Casualty Insurance
WSM,Equity,Consumer Discretionary,Homefurnishing Retail
WST,Equity,Health Care,Health Care Supplies
WTW,Equity,Financials,Insurance Brokers
WY,Equity,Real Estate,Timber REITs
WYNN,Equity,Consumer Discretionary,Casinos & Gaming
XEL,Equity,Utilities,Multi-Utilities
XOM,Equity,Energy,Integrated Oil & Gas
XYL,Equity,Industrials,Industrial Machinery & Supplies & Components
XYZ,Equity,Financials,Transaction & Payment Processing Services
YUM,Equity,Consumer Discretionary,Restaurants
ZBH,Equity,Health Care,Health Care Equipment
ZBRA,Equity,Information Technology,Electronic Equipment & Instruments
ZTS,Equity,Health Care,Pharmaceuticals
CL=F,Macro,Macro,Macro
^TNX,Macro,Macro,Macro
^VIX,Macro,Macro,Macro
GLD,Safe Haven,Safe Haven,Safe Haven
IEF,Safe Haven,Safe Haven,Safe Haven
TLT,Safe Haven,Safe Haven,Safe Haven
